nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,gender
41,152.682926829,0.157171590506,-0.758736233132,130,125,64.7706795396,25,275,110,205,95,Male
183,174.180327869,0.243792680184,-1.61980142608,150,120,55.5930298527,95,275,120,227.5,107.5,Male
147,191.712018141,-0.298879030428,-1.17837468968,210,120,48.9878452146,95,275,142.5,225,82.5,Male
122,152.275565964,0.386919564562,-0.0091442479864,142.5,130,51.5127109842,30,270,120,185,65,Male
136,169.889705882,-0.088172851386,-0.613379524743,165,155,56.3892438514,40,275,133.75,210,76.25,Male
49,207.551020408,0.0190048020807,0.9682182431,210,205,24.2251861049,150,270,200,220,20,Male
17,198.529411765,-0.604493279658,-1.19737686931,220,120,55.9349597585,100,270,130,245,115,Male
116,108.620689655,-0.219278592977,7.2862502981,110,120,25.1768418401,25,230,100,120,20,Male
220,129.194805195,0.733628231171,-0.384137266773,100,100,64.4500143638,22.8571428571,275,100,181.25,81.25,Male
61,207.868852459,-2.29001605884,4.80520753626,220,225,46.566179034,25,255,205,230,25,Male
117,209.273504274,1.28902101879,1.51516821643,205,210,20.5819703407,180,275,195,215,20,Male
143,214.51048951,0.823037062991,-0.243165923486,210,190,24.5185436125,175,275,195,225,30,Male
98,207.244897959,-1.1279974787,10.1914798758,205,210,23.0585152824,75,265,195,215,20,Male
109,207.110091743,-1.26487490841,11.7327989927,205,190,27.3969594005,40,275,190,215,25,Male
123,214.756097561,-1.00553182405,4.33718304418,210,210,31.5252747906,75,270,195,235,40,Male
77,210.454545455,-1.86209497889,7.83574703144,205,190,40.1392205305,25,275,190,235,45,Male
131,211.488549618,0.890090325382,-0.0843695964423,205,200,25.4703439024,160,275,195,220,25,Male
77,209.61038961,1.14016116881,0.107997703076,200,190,27.169098109,175,275,190,215,25,Male
104,203.814102564,-2.09982799367,9.26622782576,205,210,37.7786464276,26.6666666667,275,190,215,25,Male
132,208.825757576,-0.0458771597134,3.15734989265,200,190,28.7416644602,70,275,190,220,30,Male
123,211.016260163,-0.682035913105,6.48148015411,205,200,30.7028728668,40,275,195,220,25,Male
78,214.038461538,-1.58683860189,1.45047349113,230,215,62.915580865,25,275,215,250,35,Male
40,188.875,-0.785297809588,-0.933694742085,220,90,76.7747313574,25,275,90,250,160,Male
66,223.787878788,-2.60419238559,9.39218852215,225,215,37.789895696,40,275,215,245,30,Male
23,188.043478261,-1.35935697999,-0.0117156198683,225,225,75.781997553,30,260,217.5,225,7.5,Male
139,205.407673861,-0.450403702912,-1.23816154269,215,260,54.9823173837,105,275,165,260,95,Male
16,199.330357143,-1.02030809056,-0.542327090799,242.5,240,83.1684686674,30,275,150,257.5,107.5,Male
162,204.554408243,-1.1960829161,4.72255324033,200,185,40.0217927142,20.8877284595,275,180,240,60,Female
94,121.968085106,0.953765252356,2.29056893431,117.5,105,32.1666049001,40,210,105,130,25,Male
88,124.602272727,1.12205641482,1.2970357786,120,125,30.7779953024,40,210,105,126.25,21.25,Male
99,68.7638287638,1.65258157382,2.1788064971,40,30,57.2853729939,25,265,30,102.5,72.5,Male
95,154.736842105,0.694525980443,-0.0552667969043,135,120,60.3601839009,35,275,120,175,55,Male
155,184.664516129,0.145106309175,-1.66285081992,195,270,64.9841943482,105,275,120,260,140,Male
87,113.448275862,2.77782807093,14.0050980818,110,105,26.8917620256,35,245,105,120,15,Male
89,112.078651685,2.37421203703,14.9825154706,110,105,27.7611096171,25,255,105,115,10,Male
89,154.269662921,0.40171202311,-0.921501216165,120,120,56.7447991073,40,265,115,200,85,Male
106,149.29245283,0.753674362131,-0.527986827509,120,120,60.3544509905,40,275,111.25,195,83.75,Male
115,136.869565217,0.896828391065,-0.134367613369,120,120,62.1549986432,25,275,100,185,85,Male
84,156.904761905,0.819081967275,-0.697719091649,120,120,56.489067431,90,275,110,195,85,Male
93,126.899641577,0.408374240434,-0.476208175819,115,120,68.8350717919,25,270,95,180,85,Male
75,128.133333333,0.758463456808,0.174432003311,110,110,61.6807551474,25,275,97.5,172.5,75,Male
28,192.261904762,-0.0493261221338,-1.55615825277,211.666666667,125,56.2523620063,125,275,125,240,115,Male
22,195.454545455,-0.478151200466,-1.42408830586,220,125,49.1497963306,125,265,132.5,230,97.5,Male
212,157.04851752,-0.237922740287,-1.6271435906,194.285714286,195,42.1529152728,80,240,115,195,80,Male
18,234.166666667,-2.19986373452,5.51361888186,237.5,230,32.7129773773,120,270,230,250,20,Male
180,136.212962963,2.14685095078,9.84763441244,135,135,22.210990603,66.6666666667,255,130,135,5,Male
86,206.813953488,-0.180421660983,-1.17071272686,206.5,160,46.0339893708,110,275,160,253.75,93.75,Male
79,221.455696203,-0.562449225284,-1.13907523381,235,265,41.705355109,140,275,175,260,85,Male
89,221.982343499,0.157206828405,0.323871452765,210,210,25.719085201,145,275,210,240,30,Male
75,217.516190476,0.484437543676,0.56831138106,210,210,23.8426462182,145,275,205,230,25,Male
52,223.189670849,-0.620208992029,-0.855989061193,232.5,220,34.5130523722,150,270,192.5,250,57.5,Male
49,171.972789116,0.47643632398,-1.15167726566,145,120,57.9385802222,66.6666666667,275,125,235,110,Male
145,117.883270379,0.480291490126,-0.455309329625,100,25,61.2146189276,25,275,90,155,65,Male
202,120.416860143,0.427102072216,-0.662336578851,100,90,65.1461204718,24.2057488654,275,85,170,85,Male
140,84.7857142857,2.9480940438,26.9603079697,85,80,14.0263963982,35,195,80,90,10,Male
120,85.625,1.2337375363,6.76419075485,85,85,20.8122810299,25,175,75,90,15,Male
131,82.5572519084,-0.602361228424,3.93250307669,85,85,16.5700734128,25,150,75,90,15,Male
239,80.3347280335,0.0975829180305,8.91628470569,80,80,17.57508956,25,185,75,85,10,Male
33,233.03030303,-3.05774481337,8.80101603476,245,245,51.7414814236,40,275,230,255,25,Male
15,190.333333333,-0.426540807369,-1.62526160797,235,235,66.2688128425,90,260,115,247.5,132.5,Male
32,165.625,0.670698842988,-0.168062001238,155,115,49.4303487242,75,275,133.75,190,56.25,Male
105,165.46031746,0.352035792268,-1.18987651496,135,120,57.6329818299,30,265,120,230,110,Male
71,127.464788732,1.6124484684,1.1753516939,105,105,49.7873876743,40,265,105,112.5,7.5,Male
66,120.303030303,2.50664443358,4.74783079868,105,105,37.5668977825,100,250,105,115,10,Male
163,131.879929886,0.35504432024,-1.18100682054,110,45,74.0919300904,25,275,77.5,205,127.5,Male
100,99.5,0.0430613863044,3.35838778753,100,95,27.0785893281,25,215,90,115,25,Male
118,100.63559322,2.16605164006,10.8584337021,95,85,30.5773997781,25,265,85,113.75,28.75,Male
164,103.902439024,0.934000163991,5.37445443721,100,90,23.0591020895,25,220,90,111.25,21.25,Male
114,94.9122807018,0.53238829154,7.3721822039,95,100,25.2789911398,25,230,85,105,20,Male
70,105.214285714,0.972373843363,3.83377041498,105,100,37.7059649912,25,250,90,118.75,28.75,Male
134,100.26119403,1.90245965783,12.1165930306,100,105,30.1136972614,25,275,90,110,20,Male
83,125.803212851,0.877265784067,0.0730152662704,110,100,59.3614850444,25,270,95,137.5,42.5,Male
69,132.946859903,-1.92527359566,7.04023321913,135,135,23.659121284,26.6666666667,175,125,145,20,Male
81,130.082304527,1.04964891736,5.88047443205,125,125,33.6057808594,26.6666666667,250,115,135,20,Male
332,83.0930866322,0.508739226529,-1.49703200537,35,35,60.7240789646,25,265,35,150,115,Male
21,193.095238095,-0.341883075519,-0.81259578572,200,200,50.8142319415,95,265,180,225,45,Male
32,181.5625,-0.723672100011,0.0091064960773,190,145,60.6016385401,35,270,145,221.25,76.25,Male
15,172.666666667,-0.225192191617,-0.72352061337,175,110,68.4803296981,30,270,117.5,220,102.5,Male
98,182.677356657,0.370530633669,-1.28699603492,165,150,49.9046369642,105,270,145,235,90,Male
101,153.217821782,1.07750515305,-0.151501227835,120,120,50.1116780446,105,275,115,195,80,Male
73,148.02739726,1.1265624323,0.465275924999,120,120,40.4193675951,115,270,115,180,65,Male
151,151.185477183,0.574691486979,-1.40064756873,108.571428571,90,65.7566313427,85,270,95,220,125,Male
163,165.123283669,0.250542797875,-1.51284286871,160,100,64.2175255868,85,270,100,230,130,Male
144,139.111996501,0.969983981144,-0.593904972213,105,90,59.3929444245,85,270,95,186.25,91.25,Male
145,133.659076122,1.11447552558,-0.342070608103,100,90,55.6134228315,85,270,95,160,65,Male
92,150.620975146,0.700003332244,-0.774277790725,127.5,90,59.7995182569,70,275,100,195,95,Male
135,191.213126196,-0.727337241144,-0.533430049832,210,220,48.9092552679,85,275,140,220,80,Male
108,209.212962963,-0.899491510849,1.83998279441,210,195,26.961581352,115,265,195,235,40,Male
120,212.958333333,-0.693272209018,0.626822341269,210,195,31.6457990454,125,270,195,235,40,Male
108,205.502645503,-0.662869605621,0.965025850081,200,195,36.6366682144,80,275,190,235,45,Male
152,156.984649123,0.768888772141,-0.795489357868,120,120,48.9785031437,100,270,120,190,70,Female
124,98.2392473118,0.596068408992,0.571444547344,100,40,45.4327489987,35,235,45,120,75,Male
134,107.142857143,0.885881871603,1.63632360032,110,115,44.7425539234,40,245,95,115,20,Male
105,173,-0.828418583952,-0.961862636656,215,215,84.1387742562,25,270,110,235,125,Male
117,137.136752137,-0.815078864513,2.37360172687,135,120,37.8159976058,25,225,120,155,35,Male
174,138.82183908,0.345161400586,0.827526030619,130,120,33.3936360008,25,235,115,165,50,Male
123,138.983739837,0.332800714304,0.587486259988,135,135,9.56278673184,110,165,135,145,10,Male
126,183.991307634,-0.545387251637,1.07905923167,180,180,42.2326412906,70,275,175,215,40,Male
142,140.861388595,0.125342978559,-1.48380582813,170,90,51.9702654225,75,275,90,180,90,Male
25,144.636363636,0.754412700987,-0.324778939908,130,105,61.6491003199,45.4545454545,265,110,145,35,Male
196,122.411564626,-0.941644642327,2.02368533152,127.5,130,29.2898294058,25,190,105,140,35,Male
154,116.807359307,-1.45064141249,1.46004009947,127.5,130,34.0231391949,25,175,115,135,20,Male
236,180.444915254,-0.0472930739889,-1.78553500897,207.5,120,55.916034354,110,275,120,240,120,Male
218,173.80733945,0.216754408043,-1.69443545945,180,120,55.4584689745,120,270,120,228.75,108.75,Male
273,174.285714286,0.106254395483,-1.71958507725,190,120,52.9191004068,120,270,120,220,100,Male
79,180.047468354,-0.263179752853,-1.34941404065,190,260,74.2335422236,45,275,112.5,260,147.5,Male
107,166.679056924,-0.247182845561,-1.40679192286,190,260,80.4634436102,40,270,95,255,160,Male
59,165.376067661,-0.399317294118,-0.487140692122,165,165,69.6348274728,25,275,145,235,90,Male
89,148.336008561,0.241557369829,0.779779132204,135,130,51.4973814681,28.5714285714,275,130,175,45,Male
45,134.523716699,2.91602921944,9.98973617576,125,125,30.3887642216,93.567251462,275,120,145,25,Male
48,141.979166667,2.65446968876,5.76344390691,130,125,40.4755531069,115,275,123.75,140,16.25,Male
82,111.681184669,-1.43387712681,2.33384601309,115,100,29.5571200278,22.8571428571,165,100,135,35,Male
63,115.52154195,0.0895234339528,2.63364272499,115,90,38.8215636659,22.8571428571,260,100,135,35,Male
97,114.182621502,0.114419979773,2.52307051881,110,100,39.6168252561,22.8571428571,270,100,135,35,Male
74,117.162162162,0.864852804362,7.1313160587,115,130,33.1976175582,25,275,105,130,25,Male
59,121.881355932,2.13478098011,7.03651572546,110,110,38.1549404784,25,275,102.5,130,27.5,Male
91,129.940345369,1.46010814929,3.2871651786,120,110,45.0510615385,28.5714285714,275,107.5,140,32.5,Male
56,119.017857143,0.686362287018,1.79513430162,110,105,28.8997596823,30,200,105,130,25,Male
85,122,0.906731123732,0.497242957318,120,120,20.0176392802,90,180,105,130,25,Male
109,130.484927916,0.86566001233,2.67489574148,120,115,41.3433933342,25,270,110,145,35,Male
105,95.2380952381,-0.832581501536,-0.632165324266,105,105,38.9100363622,25,160,95,120,25,Male
92,127.880434783,2.20513648818,6.80952728192,115,115,29.9930580342,90,270,110,140,30,Male
89,115.058855003,0.663796381389,3.41521110994,110,95,41.976768247,25,270,95,130,35,Male
65,119.322344322,0.9018832643,3.58441346841,115,130,43.083675432,25,270,100,135,35,Male
81,119.320987654,-0.200473456867,2.84571027334,120,105,36.1645168026,25,255,105,135,30,Male
87,118.620689655,0.741972872226,7.83226859406,115,110,29.9874461777,25,270,105,130,25,Male
93,114.032258065,-0.489107585529,3.47432427774,115,110,35.1667155724,25,255,105,135,30,Male
55,190.36969697,-0.304693972123,-1.10326592002,200,120,53.1417647668,95,275,132.5,227.5,95,Male
73,189.520547945,-0.475662389911,-0.479647353732,195,190,51.6718066762,70,275,160,230,70,Male
99,193.958633959,-0.193905716608,-1.30361980439,200,120,56.6706841501,95,275,120,252.5,132.5,Male
75,226.733333333,-0.35011226141,-0.525708777574,220,265,35.9860466786,120,275,197.5,265,67.5,Male
11,184.242424242,-0.69778017252,-1.29658810859,230,40,89.8465685319,40,270,100.833333333,252.5,151.666666667,Male
12,156.944444444,-0.177421569951,-1.57843855634,152.5,40,83.1214899937,40,250,66.6666666667,245,178.333333333,Male
20,221.25,-2.38316269238,5.80879960514,240,215,50.171580601,40,270,215,250,35,Male
11,220.909090909,-1.87381766773,2.72221094809,240,250,50.3992325798,80,270,215,250,35,Male
108,157.759259259,2.24372401987,4.19143699715,150,140,32.1486335089,120,270,140,160,20,Male
75,146.866666667,0.409368103825,-0.0724070107985,135,140,49.7646014307,40,275,120,175,55,Male
62,146.417050691,-0.595308709784,1.14865171436,145,140,47.9153116355,22.8571428571,240,135,163.75,28.75,Male
63,133.174603175,-0.11433241581,-0.474735671768,140,140,60.5549834586,25,260,105,160,55,Male
52,103.974358974,-0.78266039525,4.5141293378,105,100,24.2144837418,25,185,100,115,15,Male
59,207.627118644,-0.388059034448,-0.984149413713,220,220,39.1904944827,135,275,180,235,55,Female
41,153.170731707,0.903760344184,-0.609917559009,130,110,53.5764338615,95,265,115,190,75,Male
135,174.735449735,0.326830853938,-0.707723406984,175,175,49.9222934144,80,270,135,200,65,Male
107,135.220293725,-1.22957030989,3.08819237531,145,140,40.9891538171,25,275,132.5,155,22.5,Male
78,147.5,-0.593963188492,2.47665694945,145,145,47.4527430241,25,270,140,160,20,Male
49,154.693877551,-0.155803702884,-0.971079781735,160,105,65.6553164242,25,265,105,210,105,Male
113,120.467762326,-0.745566126923,1.71587191218,130,125,41.8342716465,22.8571428571,250,120,135,15,Male
180,111.65,-1.27288673535,0.269531482806,125,120,40.9246563822,25,180,120,130,10,Male
111,114.954954955,-1.3380162797,0.893296181177,125,130,39.8222146767,25,210,120,135,15,Male
119,126.974789916,-0.768909637629,3.08601376318,130,130,34.932218204,25,230,125,140,15,Male
39,102.179487179,0.503719541954,3.74215719659,105,100,36.1229182134,25,220,97.5,110,12.5,Male
38,192.021257257,-2.10680222738,3.29312615003,210,210,58.3362673369,22.759601707,250,195,220,25,Male
19,246.315789474,-1.61374125575,2.3726825154,245,245,12.9616951116,210,265,245,255,10,Male
22,228.863636364,0.662060447585,-1.08788341922,215,210,23.1070541267,205,275,210,250,40,Male
30,170.666666667,-0.923421039732,0.0921390071204,180,180,69.3028779265,25,270,165,215,50,Female
205,210.414634146,-1.35670382021,3.33788035267,215,220,28.7528276435,120,275,200,220,20,Male
162,101.635802469,-0.614676570346,3.20565133115,105,100,24.8255036558,25,200,90,115,25,Male
60,76.0873015873,1.26432991687,0.183195403767,30,25,75.1909557805,25,265,25,122.5,97.5,Male
45,142.406011004,0.586008097487,-0.87979951647,105,105,77.0965400957,25,275,100,195,95,Male
132,211.578282828,-0.405479496464,-1.14307591478,207.5,205,43.6793269458,110,275,174.583333333,250,75.4166666667,Male
180,224.348941799,-1.21474049869,0.0264258928894,270,270,68.4541514067,25,272,195,270,75,Male
171,221.773879142,-1.11291754238,0.157842590059,270,270,65.6339075328,25,272,182.5,270,87.5,Male
139,161.116820829,0.252770258461,-1.14039179492,140,270,69.9670439589,25,270,102.5,222.5,120,Male
135,176.296296296,-0.362088631751,-0.795772128047,195,270,67.9949969918,25,270,130,225,95,Male
152,165.635964912,0.210533975664,-1.24204615677,140,270,67.2640271601,25,275,103.75,225,121.25,Male
178,223.327715356,-0.924736477263,-0.704136640254,270,270,61.7473758177,85,275,182.5,270,87.5,Male
126,158.346560847,0.405294380797,-1.30306904928,135,225,65.9640541416,35,275,100,225,125,Male
128,180.837053571,-0.290342922187,-1.04908112503,195,270,72.3300870795,25,270,127.5,257.5,130,Male
15,240.666666667,-2.12288219287,4.67519282962,245,230,29.3749704492,145,270,230,260,30,Male
36,225.972222222,-1.54091100034,0.949450902983,240,245,41.9129296619,120,265,233.75,245,11.25,Male
225,169.794074074,-0.244765572221,-1.3615892572,200,220,55.4065875162,35,275,115,220,105,Male
224,161.286352041,0.0725899456787,-1.53503271201,135,220,54.8437574978,30,265,115,220,105,Male
13,90.3846153846,0.678518317632,0.672161914127,100,100,53.9038152803,25,225,25,115,90,Male
258,107.045601934,-3.52433935342,14.476785731,110,110,16.4555634599,25,140,105,115,10,Male
47,138.276595745,0.227264441003,-1.0199956863,120,110,77.4996780028,24,275,110,227.5,117.5,Male
52,154.519230769,0.0199073458919,-0.908710220575,125,115,64.6905326519,25,265,115,221.25,106.25,Male
36,125.972222222,0.423839391147,0.12243678817,125,125,62.4702089493,25,260,115,136.25,21.25,Male
68,130.833333333,-0.293440126733,-1.07476061951,120,25,61.9076504928,25,220,90,185,95,Male
134,111.828358209,1.63737239661,10.8560216528,110,105,18.9907778559,40,230,100,120,20,Male
113,124.661915368,1.03927931231,0.757389426529,105,105,52.5320398157,25,275,95,140,45,Male
91,147.925700918,0.339846029838,-1.25917138101,120,95,67.1406197557,35,270,95,212.5,117.5,Male
98,148.700452923,0.428964601418,-1.06933588616,115,110,59.5445129178,25,265,105,210,105,Male
42,156.547619048,0.709632370863,2.43513504816,145,140,41.9961462977,30,275,136.25,158.75,22.5,Female
58,143.793103448,-0.544165889398,5.4825658407,145,145,37.5466416243,25,265,135,155,20,Female
374,135.844537815,2.27562450524,6.58458867049,125,125,23.5418131062,100,270,125,135,10,Male
34,240.882352941,-1.96238764959,2.46230578823,260,260,47.8888202021,110,275,246.25,268.75,22.5,Male
14,236.428571429,-1.75506405737,1.58815998692,265,265,50.2646059593,105,265,227.5,265,37.5,Male
95,127.526315789,0.638153137013,4.20557610878,120,120,34.4266855201,25,255,110,135,25,Male
127,127.401574803,0.918258242284,-0.429750311824,115,90,42.03623689,40,215,90,142.5,52.5,Male
39,127.179487179,2.42386062472,4.39800990597,115,115,34.9687566007,105,235,110,122.5,12.5,Male
188,163.031914894,0.0612532881398,-1.22959627335,140,120,51.8447872034,45,265,120,225,105,Male
142,126.584507042,5.49629121211,43.6223274191,120,120,16.5125828922,120,275,120,120,0,Male
187,132.816644294,0.564593062047,0.0141401348613,140,145,35.6164309686,80,235,105,150,45,Male
183,110.356492324,0.606761984185,-1.14522145082,100,25,85.1011619819,25,275,30,217.5,187.5,Male
171,124.18128655,-1.64324185322,6.44893896487,125,130,23.4876326941,25,185,115,135,20,Male
190,125.48245614,-1.118671726,4.45710320296,130,120,27.5848184122,25,220,115,140,25,Male
151,126.920529801,0.228667293698,7.65458836394,125,135,27.2215640998,25,255,115,140,25,Male
29,125.344827586,0.526231251882,-0.721255141854,125,115,12.2425934318,105,150,115,135,20,Male
109,187.845347313,0.456012367698,-1.15597429205,180,145,40.6590120696,135,275,150,225,75,Male
113,170.448798989,0.0527206006452,-1.12611529127,145,120,65.9444106373,35,270,120,245,125,Male
153,118.977591036,0.24859169029,-0.395004254762,120,30,60.8987292708,28.5714285714,260,95,140,45,Male
89,154.1894061,-0.817870837292,0.894418617134,165,165,39.9864100698,22.8571428571,255,135,175,40,Male
202,182.167609618,-0.898550282048,0.117125195344,190,215,40.6091114791,80,266.666666667,170,215,45,Male
94,102.606382979,0.71702913138,2.31364467036,100,90,35.0435042954,25,210,90,115,25,Male
72,216.322751323,-2.03959786063,3.02972138503,230,230,33.9002455063,105,265,225,230,5,Female
313,125.998022212,1.80432064839,1.47551636264,100,100,54.0739811666,45.7142857143,270,100,115,15,Male
145,154.356321839,1.21415591261,0.239950249485,130,130,52.8901073567,66.6666666667,275,125,160,35,Male
81,110.097001764,-1.49077771996,3.07752106393,110,110,27.2433286418,22.8571428571,165,105,125,20,Male
94,96.8920972644,0.385045304787,1.75574788753,110,125,45.2695774715,25,260,51.25,125,73.75,Male
53,163.094339623,-0.183554906162,0.108584419938,150,125,53.4363540132,24,270,130,200,70,Male
118,141.779661017,0.233256758351,-0.802852371952,125,105,70.264408088,25,275,105,213.75,108.75,Male
166,110.464716007,0.974595529709,0.388362524835,95,90,58.7467396241,25,275,80,123.75,43.75,Male
84,222.916666667,-0.84346135099,-0.286845904617,232.5,260,44.8091743193,120,275,198.75,260,61.25,Male
62,203.11827957,-0.429942642075,-0.534278643344,200,175,49.1882892776,95,275,175,243.75,68.75,Male
74,131.824324324,6.49727160611,47.4326504397,130,130,17.6981890264,115,270,125,135,10,Male
81,128.518518519,1.2524232847,2.95069466873,130,130,6.4523153297,115,150,125,130,5,Male
111,170.3003003,0.455611805158,-1.44326445061,135,135,41.7432918242,120,265,135,215,80,Female
141,166.6569929,0.141784850936,-0.175310607284,165,180,44.0632713216,85,260,145,185,40,Male
131,67.1784805525,1.02519290668,-0.578172757579,25,25,62.199866844,24,230,25,145,120,Male
79,207.484464094,-1.82115285508,6.79049994599,210,185,37.4913432168,43.2432432432,270,187.5,230,42.5,Female
33,213.484848485,0.587254099822,-0.590433995511,205,185,26.7277193668,170,270,190,230,40,Female
72,204.232866044,-1.70513507606,4.92168996386,205,205,43.8104234567,35,275,185,230,45,Female
93,206.58329964,-0.857209385376,3.58891657253,205,205,36.136421614,44.9859418932,275,185,230,45,Female
87,212.278657968,-1.00578299816,3.89210203768,210,170,35.5225502893,43.2432432432,270,187.5,237.5,50,Female
31,223.870967742,0.168540678343,-0.953169911692,220,215,24.5839469461,180,270,205,245,40,Female
413,156.307506053,0.879782261173,-1.07195373052,120,120,57.5076360175,70,275,120,235,115,Female
262,131.735368957,0.655011746608,-1.08144704189,105,90,49.978192319,70,250,90,180,90,Male
119,97.3469387755,0.894011311523,1.61208152879,110,115,56.0372593648,25,270,37.5,120,82.5,Male
107,118.177570093,1.15098158224,7.15459235277,115,115,35.719523467,25,270,110,125,15,Male
97,96.1340206186,-0.891334121703,-0.602206131845,110,110,39.2093584626,25,165,95,120,25,Male
127,101.496062992,0.772289452456,3.11997705686,105,100,45.3781788788,25,270,95,115,20,Male
97,112.164948454,1.24446597576,9.31721535167,110,110,32.7431996284,25,270,100,125,25,Male
99,107.626262626,0.990672242411,1.68192326128,110,110,57.6270815016,25,270,97.5,120,22.5,Male
108,117.962962963,0.822516309821,5.67162557097,120,115,39.4407492618,25,270,110,125,15,Male
84,102.261904762,0.854770386405,2.01159148928,110,105,51.6766777661,25,265,98.75,115,16.25,Male
115,113.144927536,0.0164378866486,4.91398195887,120,120,37.8936760797,25,275,110,125,15,Male
93,115.967741935,3.38214203188,18.7914410523,110,110,24.6290551436,40,260,105,125,20,Male
93,96.2724014337,0.917773897534,1.49731050396,110,115,56.5735044063,25,270,33.3333333333,115,81.6666666667,Male
110,111.272727273,-0.224548008986,7.75884148777,112.5,110,28.4400195278,25,255,105,125,20,Male
131,153.778625954,0.810996553309,0.720881567312,140,130,43.8643450256,40,275,130,170,40,Male
110,149.818181818,0.608026365792,0.370954895649,137.5,140,45.1659932045,40,265,125,170,45,Male
155,166.290322581,0.41355552048,-0.385529622514,150,145,46.6380666536,40,265,135,205,70,Male
131,146.106870229,0.917194609758,0.962156675213,140,145,36.4099331947,40,255,122.5,160,37.5,Male
126,140.992063492,0.558282483518,2.14534502951,140,145,38.3954974278,40,275,120,153.75,33.75,Male
106,160.754716981,0.39510322611,0.430952182847,150,145,40.04002981,40,275,135,190,55,Male
142,152.605633803,1.20572644036,0.939988352231,145,145,37.0749066169,100,270,130,170,40,Male
151,140.562913907,0.613771471784,3.28258335284,140,140,31.2464199081,25,265,120,150,30,Male
169,148.313609467,1.39750402543,2.27436219279,140,140,38.6069848892,40,275,125,160,35,Male
142,147.288732394,1.07190707089,3.46526119378,140,140,35.028274492,40,275,126.25,165,38.75,Male
203,155.221674877,1.17205943222,0.599727913734,140,135,39.9793681169,95,275,130,177.5,47.5,Male
171,147.450292398,0.723435805994,1.33772352259,140,140,37.4762558345,24,270,125,160,35,Male
173,145.838150289,0.769615291237,2.61100851901,140,140,34.7454382757,40,270,125,160,35,Male
87,174.137931034,0.355914886829,-0.542925105846,165,140,50.901114956,40,275,140,207.5,67.5,Male
229,172.598253275,0.229194289217,-0.614635133944,160,135,51.1304111945,40,275,135,215,80,Male
99,159.646464646,0.802210858255,0.712870832087,145,140,40.6155448997,40,260,135,175,40,Male
149,161.140939597,0.516336849442,0.747401064258,145,145,43.8236276154,40,275,135,185,50,Male
132,174.356060606,-0.167602141713,-0.126268447858,167.5,150,46.7399531541,40,260,140,211.25,71.25,Male
100,174.15,0.4190031921,-0.0955161491209,165,150,46.352211382,40,275,140,206.25,66.25,Male
113,156.814159292,0.78153917287,-0.0148850251774,145,140,46.4446666061,40,275,125,180,55,Male
125,170.16,0.425861879273,-0.46473374181,150,145,46.3678164248,40,275,140,205,65,Male
137,215.656934307,-0.415317831243,-1.44484214993,220,265,49.0449574714,140,275,150,265,115,Male
159,163.93081761,0.162447699902,0.922477830548,155,145,36.6453544975,40,265,140,185,45,Male
101,154.801980198,1.06221659487,-0.177438825752,135,130,46.4476751919,100,275,125,175,50,Male
113,165.265486726,0.619467138421,-0.461429152173,155,145,41.3480837533,105,270,130,185,55,Male
122,166.106557377,0.787462779143,-0.450478099777,155,125,46.9936876433,100,275,126.25,190,63.75,Male
105,162.380952381,0.710382251005,-0.522337993873,155,125,42.3820224584,105,275,125,190,65,Male
122,166.147540984,1.09679705235,0.819316489382,160,165,38.9502987491,110,275,135,180,45,Male
41,137.43902439,3.47664379977,15.8754707393,135,135,10.0074332873,125,190,135,140,5,Male
58,127.155172414,0.229347158949,-1.09382480475,102.5,85,62.8977829016,25,255,85,185,100,Male
66,116.388888889,0.531789502998,-0.872317716207,87.5,85,72.0190907943,25,275,53.75,178.75,125,Male
106,123.490566038,-1.96320528312,6.02999434907,125,115,22.8011276132,35,160,115,140,25,Male
149,99.4966442953,0.430308115401,0.711443727459,100,105,13.4706363038,70,145,90,105,15,Male
84,117.043650794,0.907340293495,0.755380675895,102.5,95,42.3541312416,30,235,90,135,45,Male
92,131.114389234,0.540338579367,-1.07065752669,90,90,56.8979967997,33.3333333333,260,90,181.25,91.25,Female
23,206.15942029,-0.204012254934,-1.91193373388,265,270,67.1080223406,126.666666667,270,130,270,140,Male
72,223.035714286,-0.848192327266,-1.0661835815,250,265,56.0810008511,120,275,150,265,115,Male
125,104.12,1.80928757985,11.207488286,105,110,28.9141072835,25,255,95,110,15,Male
51,165.840336134,-0.729010059783,-0.576931827236,180,25,76.5613399384,22.8571428571,270,147.5,222.5,75,Female
37,144.401544402,-0.364275817764,-1.52671609954,180,25,91.0161295527,22.8571428571,275,25,215,190,Female
133,173.947368421,-1.63213926546,8.30728568945,170,160,32.3517592669,25,250,160,185,25,Female
119,177.394957983,-0.100499394341,5.39378386443,170,165,30.0339355647,25,270,160,187.5,27.5,Female
27,152.777777778,0.080919050216,-0.330052836143,145,120,62.4252639582,25,270,117.5,197.5,80,Male
39,128.717948718,3.0573000307,10.8445317581,120,120,29.7364049678,100,270,115,127.5,12.5,Male
42,148.571428571,2.0679758923,5.26747373366,140,125,33.2430750806,105,275,125,165,40,Male
88,173.106060606,-0.577204259291,0.37340009263,182.5,185,56.3080126314,25,275,170,190,20,Male
28,216.785714286,-1.7044639797,1.48873977129,235,240,49.8428653319,95,265,215,242.5,27.5,Male
